"LocationID","longitude","latitude","count","avg_customer","avg_mile","time"
4,-73.97696826,40.72375214,54739,1.64473227497762,2.62490801804929,"201101"
12,-74.01556351,40.70294583,4426,1.8402620876638,4.27467013104383,"201101"
13,-74.01607915,40.7120381570745,95303,1.59238429010629,3.96288102158379,"201101"
24,-73.96547952,40.8019704938996,38852,1.68148357870895,2.75380572428704,"201101"
41,-73.951292,40.8043339497946,31649,1.65382792505292,2.8859787039085,"201101"
42,-73.94077167,40.8182578611192,9993,1.72220554388072,3.08067747423196,"201101"
43,-73.96555357,40.7824780997479,170296,1.72001691173016,2.09999072203692,"201101"
45,-73.9981515,40.7124593117795,27143,1.70331208783112,2.80744427660907,"201101"
48,-73.98984464,40.7622527553194,403640,1.64255276979487,2.34781899712615,"201101"
50,-73.99513522,40.7662377250419,133602,1.6359186239727,2.4412365084355,"201101"
68,-73.99991742,40.7484275550657,313782,1.64678980948557,2.26423131345966,"201101"
74,-73.93734561,40.8011694805865,37352,1.65819768687085,2.88350048190191,"201101"
75,-73.94575027,40.7900107514955,86515,1.64181933768711,2.59167785933075,"201101"
79,-73.98593746,40.7276201959095,465637,1.67348385115444,2.45225115272197,"201101"
87,-74.00749599,40.7068084516659,98944,1.62829479301423,4.1866651843467,"201101"
88,-74.01151503,40.7033579032362,38559,1.63837236442854,4.50595658601105,"201101"
90,-73.99697142,40.7422786290123,278672,1.61556238158121,2.05578127691336,"201101"
100,-73.9887866,40.7535127587257,233794,1.65243333875121,2.15311094382234,"201101"
103,-74.04528829,40.6898601036602,3,1.33333333333333,1.64,"201101"
104,-74.04077077,40.6987686736261,18,1.33333333333333,2.65333333333333,"201101"
105,-74.01907273,40.688784238613,546,1.69047619047619,2.98413919413919,"201101"
107,-73.98405213,40.736824057619,366791,1.61991433813807,2.14302812773487,"201101"
113,-73.99430477,40.732579073027,246589,1.61190482949361,2.08208606223311,"201101"
114,-73.99738026,40.7283403913723,200486,1.69498119569446,2.44230405115569,"201101"
116,-73.94852173,40.8270126549254,9962,1.63109817305762,3.94975105400522,"201101"
120,-73.9301822,40.8466677483027,177,1.50282485875706,2.85084745762712,"201101"
125,-74.00748582,40.72629041,97499,1.65662211920122,2.58373203827732,"201101"
127,-73.91930824,40.8660750007278,762,1.63254593175853,4.69686351706037,"201101"
128,-73.92436982,40.8723788095736,104,1.65384615384615,3.10317307692308,"201101"
137,-73.97649472,40.7404389785964,184306,1.60992045836815,2.19167086258722,"201101"
140,-73.95473878,40.7654840878898,229641,1.58374593387069,2.49648403377446,"201101"
141,-73.95963474,40.7669482163832,335874,1.60132966529115,2.13430866932242,"201101"
142,-73.98153221,40.7736332930271,385562,1.64827446688211,2.14794647812803,"201101"
143,-73.98764555,40.775965228761,147571,1.61416538479783,2.22781691524758,"201101"
144,-73.99691854,40.7208888934453,172429,1.70460885349912,2.47965881609242,"201101"
148,-73.99089626,40.7189383593803,199298,1.70271151742617,2.82423049905167,"201101"
151,-73.96816833,40.7979619931,92466,1.65713884022235,2.54560141024809,"201101"
152,-73.95378224,40.8179751476294,10622,1.70485784221427,3.21700056486537,"201101"
153,-73.91037866,40.8759678022124,102,1.68627450980392,3.28147058823529,"201101"
158,-74.0089841,40.7350354006966,191848,1.66424982277636,2.4460354030274,"201101"
161,-73.97769793,40.7580280435263,475705,1.64513301310686,2.17736664529488,"201101"
162,-73.97235594,40.7566876521888,442414,1.61848630468294,2.23158109824734,"201101"
163,-73.97756868,40.7644214057868,351502,1.6597345107567,2.18484987283145,"201101"
164,-73.98515639,40.7485746293567,300994,1.67697694970664,2.19534960829784,"201101"
166,-73.9617636,40.8094569611253,89036,1.68652005930186,2.98101026551058,"201101"
170,-73.9784916,40.74774579,439029,1.6182302308048,2.11137521667134,"201101"
186,-73.99243754,40.74849718,383465,1.61897435228769,2.16514195558917,"201101"
194,-73.9245963,40.7910007817113,1152,1.85416666666667,3.99831597222222,"201101"
202,-73.94995171,40.7618997499551,2550,1.73058823529412,3.01462352941176,"201101"
209,-74.00366456,40.70907274,21293,1.66796599821538,3.7297083548584,"201101"
211,-74.00153757,40.7238881100417,148859,1.68049630858732,2.44551387554666,"201101"
224,-73.97659767,40.7318206360168,43900,1.60394077448747,2.39456446469248,"201101"
229,-73.9651458,40.7567289416331,273258,1.60499235155055,2.17880146235426,"201101"
230,-73.98419649,40.7598176171918,466962,1.72298602455874,2.48854245099173,"201101"
231,-74.00787971,40.7177727362652,269867,1.62927664368003,2.89534844942138,"201101"
232,-73.98302456,40.71473251,27130,1.66642093623295,2.91391411721342,"201101"
233,-73.97044257,40.7499140779022,190794,1.59937419415705,2.26994156000713,"201101"
234,-73.99045782,40.740337441757,443565,1.63979349137105,2.08080369280714,"201101"
236,-73.9570117,40.78043643719,465544,1.62249755125187,2.01364530527727,"201101"
237,-73.96563454,40.7686151838115,506537,1.6117519549411,1.79251069517133,"201101"
238,-73.9730489,40.7917049344271,226649,1.64198386050677,2.3039588085542,"201101"
239,-73.97863195,40.7839614303138,325380,1.66713381277276,2.2069982789354,"201101"
243,-73.93283149,40.8571082833144,1953,1.66717869943676,4.32443420378904,"201101"
244,-73.94139911,40.8417087711198,10780,1.58395176252319,4.697426716141,"201101"
246,-74.00401513,40.7533090659834,186529,1.66797120018871,2.36092548611744,"201101"
249,-74.00287496,40.7345760073318,310656,1.64830874021426,2.27755317779151,"201101"
261,-74.01302277,40.7091389406719,54158,1.64694043354629,3.79330754459175,"201101"
262,-73.94651036,40.7759324031499,153521,1.60726545554028,2.5393130581484,"201101"
263,-73.95100987,40.7787658554344,230581,1.62623980293259,2.52471079577242,"201101"
4,-73.97696826,40.72375214,58426,1.63834594187519,2.58637712662171,"201102"
12,-74.01556351,40.70294583,4418,1.85015844273427,4.23379809868719,"201102"
13,-74.01607915,40.7120381570745,98465,1.58789417559539,3.9635864520388,"201102"
24,-73.96547952,40.8019704938996,39363,1.64227828163504,2.75781927190509,"201102"
41,-73.951292,40.8043339497946,35881,1.65483124773557,2.87640338898024,"201102"
42,-73.94077167,40.8182578611192,11249,1.66699262156636,3.04119743977242,"201102"
43,-73.96555357,40.7824780997479,171114,1.70610820856271,2.11369887910983,"201102"
45,-73.9981515,40.7124593117795,30547,1.70193472354077,2.76673879595378,"201102"
48,-73.98984464,40.7622527553194,432079,1.63139148165035,2.31905459418301,"201102"
