t1,t1+-3,t2,t2+-3,ARI,ARI_SD
1,1,0.84,1,0.899796803652968,0.0169529534751144
1,1,0.87,1,0.893490660024907,0.0141972417811605
0.99,0.99,0.99,0.99,0.878029095050735,0.021990266087663
1,1,1,1,0.877050683371298,0.0183118834500828
